Item_Code,Department,Barcode,Image Link,Title,VAT_Rate,CasePrice,Num_Pieces_In_Unit,Units_In_Case,Cases_In_Stock
493599,Garden & Outdoor Living,5024160823014,,Gardman Greenhouse Nuts & Bolts 32pk (15170),20,26.88,1,12,1
493616,Garden & Outdoor Living,5024160821935,,Gardman Garden Rubbish Sacks Green 10pk (15451),20,25.8,1,12,2
493575,Garden & Outdoor Living,5024160794338,,Gardman Gm Plastic Garden Fabric Pegs 30pk (15032),20,17.22,1,6,1
493579,Garden & Outdoor Living,5024160794314,,Gardman Gm Garden Fabric Staples 30pk (15031),20,16.14,1,6,2
478985,DIY & Pet,5024160790279,,Gardman Mealworm Pouch 1.2kg (A04521),20,72.3,1,6,4
440253,DIY & Pet,5024160782168,,Gardman Seed Mix 12.75kg 12.75k (A04218),0,57.72,1,6,5
224326,DIY & Pet,5024160782120,,Gardman Seed Mix 4kg 4kg (A04221),20,16.88,1,4,6
330500,DIY & Pet,5024160781529,,Gardman Peanuts 2kg (A05020),20,39.9,1,6,0
471421,Garden & Outdoor Living,5024160760005,,Gardman Grow-it Capillary Matting 2m (76000),20,56.6,1,10,2
419555,Garden & Outdoor Living,5024160757104,,Gardman Gard'n'fleece Large 2pk (75710),20,27.85,1,5,0
419554,Garden & Outdoor Living,5024160757050,,Gardman Gard'n'fleece Medium 3pk (75705),20,27.85,1,5,2
413424,Garden & Outdoor Living,5024160756176,,Gardman Weedstop Performance 12mt (75617),20,44.95,1,5,7
224331,DIY & Pet,5024160658784,,Gardman Flip Top Seed Feeder (A01234),20,28.7,1,10,2
474938,DIY & Pet,5024160658760,,Gardman Flip Top Peanut Feeder (A01231),20,29.6,1,10,1
474937,DIY & Pet,5024160658746,,Gardman Flip Top Seed Feeder Large (A01235),20,25.32,1,6,2
467569,DIY & Pet,5024160617095,,Gardman Suet Feasts 10s (A04118),20,7.99,1,1,18
228156,Garden & Outdoor Living,5024160601513,,Gardman Weedstop Ultimate 1x10m (75611),20,44.95,1,5,5
487791,Garden & Outdoor Living,5024160345998,,Westland Foldaway Garden Kneeler (34599),20,71.96,1,4,5
493613,Garden & Outdoor Living,5024160345875,,Gardman Easy Picker Edu (34587),20,31.26,1,6,1
447385,Garden & Outdoor Living,5024160345813,,Gardman Large Pop Up Bin (34581AD),20,35.05,1,5,0
223928,Garden & Outdoor Living,5024160320452,,Gardman Kneeler Cushion (32045),20,12.9,1,6,2
493611,Garden & Outdoor Living,5024160320155,,Gardman Garden Tidy Sheet Large (32015),20,19.75,1,5,3
493612,Garden & Outdoor Living,5024160320100,,Gardman Giant Garden Tidy Bag (32010),20,22.45,1,5,2
493561,Garden & Outdoor Living,5024160240507,,Gardman Heavy Duty Wire 20mx3.5mm (14050),20,41.7,1,15,0
493588,Garden & Outdoor Living,5024160160638,,Gardman Soil ph Testing Kit (16063),20,43.14,1,6,1
493574,Garden & Outdoor Living,5024160160102,,Gardman Wooden Thermometer (16010),20,26.88,1,12,0
